beginTime,Temp,TempType
42736.00,54,F
42736.04,11.7,C
42736.08,11.7,C
42736.13,12.2,C
42736.17,12.8,C
42736.21,55,F
42736.25,55,F
42736.29,11.7,C
42736.33,11.7,C
42736.38,53.1,F
42736.42,45,F
42736.46,7.2,C
42736.50,46,F
42736.54,46.9,F
42736.58,10,C
42736.63,10.6,C
42736.67,10,C
42736.71,48.9,F
42736.75,48.9,F
42736.79,9.4,C
42736.83,8.3,C
42736.88,7.8,C
42736.92,7.2,C
42736.96,44.1,F
42737.00,43,F
42737.04,43,F
42737.08,6.1,C
42737.13,5.6,C
42737.17,42.1,F
42737.21,2.8,C
42737.25,3.3,C
42737.29,3.9,C
42737.33,6.1,C
42737.38,7.8,C
42737.42,48,F
42737.46,10.6,C
42737.50,12.8,C
42737.54,55,F
42737.58,55.9,F
42737.63,55.9,F
42737.67,12.8,C
42737.71,11.7,C
42737.75,10.6,C
42737.79,50,F
42737.83,51.1,F
42737.88,48,F
42737.92,48,F
42737.96,7.8,C
42738.00,45,F
42738.04,44.1,F
42738.08,41,F
42738.13,39.9,F
42738.17,5,C
42738.21,39.9,F
42738.25,39.9,F
42738.29,4.4,C
42738.33,43,F
42738.38,10,C
42738.42,11.7,C
42738.46,55.9,F
42738.50,59,F
42738.54,17.2,C
42738.58,17.2,C
42738.63,63,F
42738.67,16.7,C
42738.71,60.1,F
42738.75,57.9,F
42738.79,13.9,C
42738.83,13.9,C
42738.88,54,F
42738.92,53.1,F
42738.96,53.1,F
42739.00,10.6,C
42739.04,50,F
42739.08,11.1,C
42739.13,48.9,F
42739.17,8.9,C
42739.21,7.8,C
42739.25,44.1,F
42739.29,7.2,C
42739.33,48,F
42739.38,12.2,C
42739.42,13.9,C
42739.46,16.7,C
42739.50,66,F
42739.54,19.4,C
42739.58,20,C
42739.63,69.1,F
42739.67,18.9,C
42739.71,16.1,C
42739.75,15,C
42739.79,12.2,C
42739.83,52,F
42739.88,50,F
42739.92,48.9,F
42739.96,9.4,C
42740.00,46.9,F
42740.04,46.9,F
42740.08,7.8,C
42740.13,8.3,C
42740.17,45,F
42740.21,44.1,F
42740.25,7.2,C
42740.29,7.8,C
42740.33,8.9,C
42740.38,11.7,C
42740.42,57.9,F
42740.46,66,F
42740.50,66,F
42740.54,69.1,F
42740.58,69.1,F
42740.63,69.1,F
42740.67,19.4,C
42740.71,17.8,C
42740.75,16.1,C
42740.79,60.1,F
42740.83,57,F
42740.88,55,F
42740.92,11.7,C
42740.96,52,F
42741.00,51.1,F
42741.04,53.1,F
42741.08,48.9,F
42741.13,10,C
42741.17,8.9,C
42741.21,50,F
42741.25,53.1,F
42741.29,50,F
42741.33,54,F
42741.38,13.9,C
42741.42,14.4,C
42741.46,60.1,F
42741.50,16.1,C
42741.54,16.1,C
42741.58,62.1,F
42741.63,62.1,F
42741.67,16.1,C
42741.71,14.4,C
42741.75,54,F
42741.79,54,F
42741.83,48.9,F
42741.88,46.9,F
42741.92,45,F
42741.96,6.7,C
42742.00,42.1,F
42742.04,43,F
42742.08,6.7,C
42742.13,5.6,C
42742.17,5.6,C
42742.21,41,F
42742.25,5,C
42742.29,39,F
42742.33,48.9,F
42742.38,51.1,F
42742.42,59,F
42742.46,16.1,C
42742.50,17.8,C
42742.54,68,F
42742.58,20,C
42742.63,70,F
42742.67,21.1,C
42742.71,64.9,F
42742.75,15.6,C
42742.79,57.9,F
42742.83,11.7,C
42742.88,51.1,F
42742.92,12.2,C
42742.96,11.7,C
